id,tipo producto,imagen,precio,fila butaca,columna butaca,tipo butaca,estado butaca,ocupacion butaca,nombre complemento,stock complemento,categoria complemento,created at,updated at,is deleted
A1,Butaca,sinImagen.png,5.0,0,0,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
A2,Butaca,sinImagen.png,5.0,0,1,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
A3,Butaca,sinImagen.png,5.0,0,2,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
A4,Butaca,sinImagen.png,5.0,0,3,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
A5,Butaca,sinImagen.png,5.0,0,4,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
A6,Butaca,sinImagen.png,5.0,0,5,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
A7,Butaca,sinImagen.png,5.0,0,6,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
B1,Butaca,sinImagen.png,5.0,1,0,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
B2,Butaca,sinImagen.png,5.0,1,1,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
B3,Butaca,sinImagen.png,8.0,1,2,VIP,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
B4,Butaca,sinImagen.png,8.0,1,3,VIP,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
B5,Butaca,sinImagen.png,8.0,1,4,VIP,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
B6,Butaca,sinImagen.png,5.0,1,5,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
B7,Butaca,sinImagen.png,5.0,1,6,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
C1,Butaca,sinImagen.png,5.0,2,0,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
C2,Butaca,sinImagen.png,5.0,2,1,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
C3,Butaca,sinImagen.png,8.0,2,2,VIP,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
C4,Butaca,sinImagen.png,8.0,2,3,VIP,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
C5,Butaca,sinImagen.png,8.0,2,4,VIP,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
C6,Butaca,sinImagen.png,5.0,2,5,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
C7,Butaca,sinImagen.png,5.0,2,6,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
D1,Butaca,sinImagen.png,5.0,3,0,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
D2,Butaca,sinImagen.png,5.0,3,1,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
D3,Butaca,sinImagen.png,8.0,3,2,VIP,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
D4,Butaca,sinImagen.png,8.0,3,3,VIP,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
D5,Butaca,sinImagen.png,8.0,3,4,VIP,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
D6,Butaca,sinImagen.png,5.0,3,5,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
D7,Butaca,sinImagen.png,5.0,3,6,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
E1,Butaca,sinImagen.png,5.0,4,0,NORMAL,FUERASERVICIO,LIBRE,null,null,null,2024-05-30,2024-05-30,false
E2,Butaca,sinImagen.png,5.0,4,1,NORMAL,FUERASERVICIO,LIBRE,null,null,null,2024-05-30,2024-05-30,false
E3,Butaca,sinImagen.png,5.0,4,2,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
E4,Butaca,sinImagen.png,5.0,4,3,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
E5,Butaca,sinImagen.png,5.0,4,4,NORMAL,ACTIVA,LIBRE,null,null,null,2024-05-30,2024-05-30,false
E6,Butaca,sinImagen.png,5.0,4,5,NORMAL,MANTENIMIENTO,LIBRE,null,null,null,2024-05-30,2024-05-30,false
E7,Butaca,sinImagen.png,5.0,4,6,NORMAL,MANTENIMIENTO,LIBRE,null,null,null,2024-05-30,2024-05-30,false
